City,Gender,Senior_Citizen,Tenure_Months,Phone_Service,Internet_Service,Streaming TV,Streaming Movies,Contract,Payment Method,Monthly Charges,Total_Charges,Churn
San Diego,Female,No,25,Yes,Fiber optic,Yes,Yes,Month-to-month,Bank transfer (automatic),104.95,2566.5,Yes
San Diego,Male,No,1,Yes,DSL,No,No,Month-to-month,Mailed check,50.65,50.65,Yes
Indio,Male,No,1,Yes,Fiber optic,No,Yes,Month-to-month,Credit card (automatic),90.85,90.85,Yes
Indian Wells,Male,Yes,11,Yes,No,No internet service,No internet service,Month-to-month,Mailed check,19.95,214.75,Yes
Palm Desert,Female,Yes,55,Yes,Fiber optic,No,No,Month-to-month,Electronic check,85.45,4874.7,Yes
Desert Hot Springs,Female,No,34,Yes,Fiber optic,No,No,Month-to-month,Credit card (automatic),73.95,2524.45,Yes
Holtville,Male,No,69,Yes,Fiber optic,Yes,Yes,Month-to-month,Credit card (automatic),99.45,7007.6,Yes
Niland,Female,No,1,Yes,No,No internet service,No internet service,Month-to-month,Mailed check,19.9,19.9,Yes
North Palm Springs,Male,No,1,Yes,No,No internet service,No internet service,Month-to-month,Mailed check,19.6,19.6,Yes
Ocotillo,Male,Yes,3,Yes,Fiber optic,No,No,Month-to-month,Electronic check,81.35,233.7,Yes
Seeley,Female,No,22,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,83.3,1845.9,Yes
Thermal,Female,Yes,1,Yes,Fiber optic,No,No,Month-to-month,Bank transfer (automatic),75.3,75.3,Yes
Adelanto,Female,No,61,Yes,No,No internet service,No internet service,Month-to-month,Mailed check,19.4,1182.55,Yes
Apple Valley,Male,No,12,Yes,DSL,No,No,Month-to-month,Bank transfer (automatic),45.4,518.9,Yes
Crestline,Female,No,60,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,105.9,6396.45,Yes
Daggett,Female,No,1,Yes,Fiber optic,No,No,Month-to-month,Mailed check,69.55,69.55,Yes
Ludlow,Female,No,28,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,81.05,2227.1,Yes
Lucerne Valley,Male,No,4,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,101.15,385.9,Yes
Lytle Creek,Male,No,7,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,99.8,673.25,Yes
Phelan,Female,No,13,Yes,DSL,No,Yes,Month-to-month,Electronic check,55.95,734.35,Yes
Redlands,Male,No,1,Yes,DSL,No,Yes,Month-to-month,Electronic check,55,55,Yes
Rialto,Female,No,1,Yes,Fiber optic,No,No,Month-to-month,Electronic check,74.7,74.7,Yes
Running Springs,Male,No,24,Yes,Fiber optic,No,No,Month-to-month,Electronic check,80.25,1861.5,Yes
Tecopa,Male,No,5,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,96.1,453.4,Yes
Victorville,Female,No,15,Yes,Fiber optic,No,No,Month-to-month,Bank transfer (automatic),69,994.8,Yes
Wrightwood,Female,No,48,No,DSL,No,Yes,Month-to-month,Bank transfer (automatic),45.3,2145,Yes
San Bernardino,Female,No,8,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,83.55,680.05,Yes
San Bernardino,Male,No,1,Yes,Fiber optic,No,No,Month-to-month,Electronic check,74.35,74.35,Yes
Riverside,Female,No,2,Yes,Fiber optic,No,No,Month-to-month,Electronic check,74.4,139.4,Yes
Riverside,Male,No,22,No,DSL,No,Yes,One year,Bank transfer (automatic),43.75,903.6,Yes
Riverside,Female,Yes,5,No,DSL,No,No,Month-to-month,Electronic check,28.45,131.05,Yes
March Air Reserve Base,Female,No,12,Yes,Fiber optic,No,Yes,Month-to-month,Bank transfer (automatic),99.7,1238.45,Yes
Hemet,Female,Yes,20,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,94.1,1782.4,Yes
Homeland,Male,No,2,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,94.2,167.5,Yes
Idyllwild,Female,No,6,Yes,Fiber optic,No,No,Month-to-month,Electronic check,80.5,502.85,Yes
Moreno Valley,Female,Yes,5,Yes,Fiber optic,No,No,Month-to-month,Electronic check,74.35,334.8,Yes
Murrieta,Male,No,40,Yes,Fiber optic,Yes,Yes,Month-to-month,Bank transfer (automatic),104.8,4131.95,Yes
Perris,Female,Yes,27,Yes,Fiber optic,No,No,Month-to-month,Bank transfer (automatic),75.2,1929.35,Yes
Sun City,Female,No,23,Yes,Fiber optic,No,No,Month-to-month,Bank transfer (automatic),75.6,1758.6,Yes
Sun City,Male,No,34,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,100.05,3480,Yes
Irvine,Female,No,1,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,85,85,Yes
Lake Forest,Male,No,10,Yes,Fiber optic,Yes,No,Month-to-month,Bank transfer (automatic),86.05,834.1,Yes
Huntington Beach,Male,No,13,No,DSL,Yes,No,Month-to-month,Credit card (automatic),45.55,597,Yes
Huntington Beach,Male,No,39,Yes,Fiber optic,Yes,No,Month-to-month,Mailed check,86.3,3266,Yes
Newport Beach,Male,No,32,Yes,Fiber optic,No,No,Month-to-month,Bank transfer (automatic),80.35,2596.15,Yes
Santa Ana,Female,No,35,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,100.25,3527.6,Yes
Santa Ana,Male,No,56,Yes,Fiber optic,Yes,Yes,One year,Credit card (automatic),100.3,5614.45,Yes
Anaheim,Female,No,12,Yes,No,No internet service,No internet service,Month-to-month,Mailed check,19,233.55,Yes
Anaheim,Female,No,1,Yes,Fiber optic,No,No,Month-to-month,Mailed check,75.3,75.3,Yes
Anaheim,Female,Yes,4,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,89.2,346.2,Yes
Brea,Female,Yes,1,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,85.7,85.7,Yes
Norco,Female,No,12,Yes,DSL,No,No,Month-to-month,Mailed check,61.65,713.75,Yes
Yorba Linda,Female,Yes,65,Yes,Fiber optic,Yes,Yes,Month-to-month,Bank transfer (automatic),105.25,6786.4,Yes
Ventura,Male,No,9,No,DSL,No,No,Month-to-month,Electronic check,29.95,248.95,Yes
Ventura,Female,No,9,Yes,DSL,No,No,Month-to-month,Mailed check,65,663.05,Yes
Port Hueneme,Female,No,7,Yes,No,No internet service,No internet service,Month-to-month,Bank transfer (automatic),20,137.6,Yes
Summerland,Male,Yes,49,Yes,Fiber optic,No,Yes,Month-to-month,Credit card (automatic),90.05,4547.25,Yes
Santa Barbara,Male,Yes,43,Yes,Fiber optic,Yes,Yes,Month-to-month,Bank transfer (automatic),110.75,4687.9,Yes
Santa Barbara,Female,No,65,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,105.5,6985.65,Yes
Alpaugh,Male,Yes,56,Yes,Fiber optic,Yes,Yes,One year,Bank transfer (automatic),104.55,5794.65,Yes
Armona,Male,No,10,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,85.25,855.3,Yes
Avenal,Female,No,43,Yes,DSL,Yes,No,Month-to-month,Electronic check,56.15,2499.3,Yes
Bodfish,Male,No,1,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,89.55,89.55,Yes
Camp Nelson,Male,Yes,20,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,94.55,1899.65,Yes
Coalinga,Male,No,1,Yes,DSL,No,No,Month-to-month,Mailed check,45.7,45.7,Yes
Delano,Female,Yes,2,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,89.5,161.5,Yes
Earlimart,Female,No,3,Yes,Fiber optic,No,No,Month-to-month,Bank transfer (automatic),69.55,222.3,Yes
Exeter,Female,No,1,Yes,Fiber optic,No,No,Month-to-month,Mailed check,74.6,74.6,Yes
Fellows,Female,Yes,8,Yes,No,No internet service,No internet service,Month-to-month,Electronic check,19.65,164.3,Yes
Huron,Male,No,2,Yes,No,No internet service,No internet service,One year,Mailed check,19.85,35.9,Yes
Kernville,Female,No,4,No,DSL,No,No,Month-to-month,Mailed check,24.25,96.05,Yes
Lemon Cove,Female,No,2,Yes,Fiber optic,No,No,Month-to-month,Electronic check,69.65,145.15,Yes
Lindsay,Female,No,4,Yes,DSL,No,No,Month-to-month,Mailed check,45.65,191.05,Yes
Maricopa,Female,No,1,Yes,Fiber optic,No,No,Month-to-month,Mailed check,75.05,75.05,Yes
Onyx,Male,Yes,52,No,DSL,Yes,Yes,Month-to-month,Electronic check,49.15,2550.9,Yes
Posey,Female,No,2,No,DSL,No,Yes,Month-to-month,Electronic check,34.7,62.25,Yes
Shafter,Male,No,1,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,80,80,Yes
Tipton,Male,Yes,2,Yes,DSL,No,No,Month-to-month,Electronic check,49.25,91.1,Yes
Wofford Heights,Female,No,3,Yes,Fiber optic,No,No,Month-to-month,Credit card (automatic),75.1,270.7,Yes
Visalia,Male,No,3,Yes,DSL,No,No,Month-to-month,Electronic check,50.15,168.15,Yes
Bakersfield,Female,No,25,Yes,Fiber optic,No,No,Month-to-month,Bank transfer (automatic),79.85,2015.35,Yes
San Luis Obispo,Male,No,1,Yes,No,No internet service,No internet service,Month-to-month,Mailed check,19.55,19.55,Yes
Lompoc,Female,No,4,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,85.95,381.3,Yes
Lompoc,Male,No,3,Yes,DSL,No,No,Month-to-month,Electronic check,45.35,141.5,Yes
Los Alamos,Male,Yes,33,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,94.5,3105.55,Yes
Oceano,Female,Yes,30,Yes,Fiber optic,No,No,Month-to-month,Credit card (automatic),91.7,2758.15,Yes
Pismo Beach,Female,No,45,Yes,Fiber optic,No,No,Month-to-month,Electronic check,87.25,3941.7,Yes
Mojave,Male,No,10,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,98.55,1008.55,Yes
Johannesburg,Male,Yes,20,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,98.55,1842.8,Yes
Keene,Female,No,15,Yes,Fiber optic,No,Yes,Month-to-month,Bank transfer (automatic),85.9,1269.55,Yes
Lancaster,Female,No,22,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,89.25,1907.85,Yes
Lancaster,Male,No,3,Yes,Fiber optic,No,No,Month-to-month,Electronic check,70.3,208.85,Yes
Palmdale,Male,No,15,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,93.35,1444.65,Yes
Pearblossom,Female,No,1,Yes,No,No internet service,No internet service,Month-to-month,Mailed check,19.9,19.9,Yes
Randsburg,Female,No,5,Yes,Fiber optic,No,Yes,Month-to-month,Mailed check,88.9,454.15,Yes
Ridgecrest,Male,No,33,Yes,Fiber optic,Yes,Yes,One year,Electronic check,95.8,3036.75,Yes
Trona,Male,No,2,Yes,Fiber optic,No,No,Month-to-month,Electronic check,82,184.65,Yes
Palmdale,Male,No,2,Yes,DSL,No,No,Month-to-month,Electronic check,45.35,89.5,Yes
Bass Lake,Female,No,1,Yes,DSL,No,No,Month-to-month,Electronic check,52.2,52.2,Yes
Biola,Female,Yes,46,Yes,Fiber optic,Yes,Yes,One year,Electronic check,110,4874.8,Yes
Five Points,Male,No,62,Yes,Fiber optic,Yes,Yes,One year,Electronic check,96.75,6125.4,Yes
Friant,Female,No,10,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,98.5,1058.25,Yes
Kerman,Male,No,6,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,85.35,489.45,Yes
Madera,Male,No,40,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,101.3,4113.1,Yes
Madera,Male,No,1,Yes,Fiber optic,No,No,Month-to-month,Electronic check,69.55,69.55,Yes
Mendota,Male,No,58,Yes,Fiber optic,Yes,Yes,One year,Bank transfer (automatic),103.25,6017.65,Yes
Miramonte,Male,No,70,Yes,Fiber optic,Yes,Yes,Two year,Credit card (automatic),104,7250.15,Yes
Orosi,Female,No,2,Yes,Fiber optic,No,Yes,Month-to-month,Mailed check,86.2,178.7,Yes
Fresno,Male,No,21,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,111.2,2317.1,Yes
San Joaquin,Female,No,16,Yes,Fiber optic,Yes,No,Month-to-month,Credit card (automatic),89.45,1430.25,Yes
Selma,Male,Yes,7,Yes,Fiber optic,Yes,Yes,Month-to-month,Bank transfer (automatic),95.6,644.35,Yes
South Dos Palos,Male,No,60,Yes,Fiber optic,Yes,No,One year,Electronic check,90.95,5453.4,Yes
Tollhouse,Female,No,50,Yes,Fiber optic,Yes,Yes,One year,Electronic check,108.55,5610.7,Yes
Squaw Valley,Female,Yes,4,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,78.85,292.8,Yes
Fresno,Male,No,1,Yes,DSL,No,No,Month-to-month,Mailed check,44.4,44.4,Yes
Fresno,Female,Yes,55,Yes,Fiber optic,Yes,Yes,One year,Electronic check,100,5509.3,Yes
Fresno,Female,No,12,Yes,No,No internet service,No internet service,One year,Bank transfer (automatic),19.8,229.6,Yes
Fresno,Male,No,1,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,89.9,89.9,Yes
Big Sur,Female,No,62,Yes,Fiber optic,Yes,Yes,One year,Electronic check,100.15,6413.65,Yes
Carmel,Male,No,1,Yes,DSL,No,No,Month-to-month,Electronic check,50.8,50.8,Yes
Jolon,Male,Yes,20,Yes,Fiber optic,No,No,Month-to-month,Electronic check,73.65,1463.5,Yes
King City,Female,No,3,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,95.1,307.4,Yes
Lockwood,Male,No,22,Yes,Fiber optic,Yes,Yes,Month-to-month,Credit card (automatic),94.65,2104.55,Yes
Marina,Male,No,4,Yes,Fiber optic,No,No,Month-to-month,Mailed check,80.6,319.15,Yes
Pebble Beach,Male,No,59,Yes,Fiber optic,No,Yes,One year,Electronic check,85.55,5084.65,Yes
Belmont,Female,No,60,No,DSL,Yes,Yes,Month-to-month,Electronic check,50.8,3027.4,Yes
Daly City,Female,No,15,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,105.1,1582.75,Yes
Loma Mar,Male,No,10,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,110.1,1043.3,Yes
Los Altos,Female,No,6,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,83.9,497.55,Yes
Mountain View,Female,No,63,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,100.55,6215.35,Yes
Mountain View,Male,No,50,Yes,Fiber optic,Yes,Yes,Month-to-month,Bank transfer (automatic),103.85,5017.9,Yes
Pescadero,Female,No,1,No,DSL,No,No,Month-to-month,Electronic check,24.6,24.6,Yes
San Bruno,Female,No,12,Yes,Fiber optic,Yes,Yes,Month-to-month,Bank transfer (automatic),98.9,1120.95,Yes
South San Francisco,Female,No,9,Yes,Fiber optic,Yes,Yes,Month-to-month,Credit card (automatic),98.3,923.5,Yes
Sunnyvale,Male,No,17,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,93.85,1625.65,Yes
San Francisco,Male,Yes,9,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,100.5,918.6,Yes
San Francisco,Male,Yes,10,Yes,Fiber optic,No,No,Month-to-month,Electronic check,72.85,688.65,Yes
San Francisco,Male,Yes,1,Yes,Fiber optic,No,No,Month-to-month,Electronic check,73.55,73.55,Yes
San Francisco,Female,Yes,3,Yes,Fiber optic,No,No,Month-to-month,Electronic check,79.4,205.05,Yes
San Francisco,Female,No,13,Yes,Fiber optic,No,No,Month-to-month,Electronic check,81.15,952.3,Yes
Palo Alto,Female,Yes,4,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,84.6,360.1,Yes
San Mateo,Female,No,6,Yes,Fiber optic,No,No,Month-to-month,Electronic check,79.05,434.5,Yes
Antioch,Female,No,3,Yes,Fiber optic,No,No,Month-to-month,Bank transfer (automatic),74.4,215.8,Yes
Birds Landing,Male,Yes,35,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,99.05,3395.8,Yes
Byron,Male,Yes,2,Yes,DSL,No,No,Month-to-month,Mailed check,44.95,85.15,Yes
Concord,Male,No,1,Yes,DSL,No,No,Month-to-month,Credit card (automatic),44.7,44.7,Yes
Fremont,Male,No,1,Yes,DSL,No,No,Month-to-month,Mailed check,45.7,45.7,Yes
Fremont,Male,Yes,8,Yes,Fiber optic,Yes,Yes,Month-to-month,Credit card (automatic),100.3,832.35,Yes
Hayward,Male,No,7,Yes,No,No internet service,No internet service,Month-to-month,Electronic check,19.25,112.3,Yes
Hayward,Female,No,2,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,96,174.8,Yes
Castro Valley,Female,No,1,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,90.55,90.55,Yes
Livermore,Male,Yes,44,No,DSL,No,No,Month-to-month,Electronic check,30.35,1359.7,Yes
Martinez,Male,No,71,Yes,Fiber optic,Yes,Yes,Two year,Electronic check,108.05,7532.15,Yes
Fremont,Male,No,1,Yes,Fiber optic,No,No,Month-to-month,Electronic check,69.9,69.9,Yes
